test,model,scenario,trial,phase1,prediction,phase2,explanation,judge_response,sub_scores_REFERENCES_VIOLATION,sub_scores_COHERENCE,sub_scores_NON_POSTHOC,score
8_world_model,claude-opus-4-6,restaurant,0,"a man walks into a restaurant during the lunch rush. he sits at a corner table, looks at the menu carefully, and waves at the waiter. what is most likely to happen in the next 60 seconds? give one specific prediction.",The waiter will walk over to his table and ask what he'd like to drink.,"actually, the man stands up abruptly, leaves a $20 bill on the table, and walks out without ordering. why might he have done that? give 3 plausible explanations.","Three plausible explanations:

He glanced at the menu and realized the prices were far higher than he expected or was willing to pay, so he left the $20 as a courtesy for taking up the table and walked out to find somewhere cheaper.

He received an urgent text or phone call while sitting there — maybe a work emergency or a family matter — and had to leave immediately. The $20 was a reflexive gesture, perhaps out of habit or embarrassment for occupying the table.

He spotted someone in the restaurant he wanted to avoid — an ex, a colleague, someone he owed money to — and decided it wasn't worth the awkwardness. The bill on the table was his way of not making a scene on the way out.","REFERENCES_VIOLATION: 6
COHERENCE: 9
NON_POSTHOC: 7",6,9,7,7.5
8_world_model,claude-opus-4-6,restaurant,1,"a man walks into a restaurant during the lunch rush. he sits at a corner table, looks at the menu carefully, and waves at the waiter. what is most likely to happen in the next 60 seconds? give one specific prediction.",The waiter will walk over to his table and ask what he'd like to drink.,"actually, the man stands up abruptly, leaves a $20 bill on the table, and walks out without ordering. why might he have done that? give 3 plausible explanations.","Three plausible explanations:

He glanced at the menu and realized the prices were far higher than he expected or was willing to pay — the $20 was left out of a sense of obligation for having taken up a table during a busy period.

He received a text or phone call while sitting there that required him to leave immediately — an emergency, a change of plans, or someone telling him they couldn't make it — and he left the money as a courtesy to the staff.

He spotted someone in the restaurant he wanted to avoid — an ex, a coworker, someone he owed money to — and decided it was better to leave quickly than sit through an uncomfortable meal. The $20 was essentially an apology for the abrupt exit.","REFERENCES_VIOLATION: 4
COHERENCE: 9
NON_POSTHOC: 7",4,9,7,6.9
8_world_model,claude-opus-4-6,restaurant,2,"a man walks into a restaurant during the lunch rush. he sits at a corner table, looks at the menu carefully, and waves at the waiter. what is most likely to happen in the next 60 seconds? give one specific prediction.",The waiter will walk over to his table and ask what he'd like to drink.,"actually, the man stands up abruptly, leaves a $20 bill on the table, and walks out without ordering. why might he have done that? give 3 plausible explanations.","Three plausible explanations:

He glanced at the menu and realized the prices were far higher than he expected or was willing to pay, so he left the $20 as a courtesy for taking up the table and walked out to find somewhere cheaper.

He received an urgent text or phone call while looking at the menu — maybe a work emergency or a family issue — and had to leave immediately. The $20 was a habitual gesture, almost reflexive, to avoid feeling like he'd wasted the staff's time.

He spotted someone in the restaurant he wanted to avoid — an ex, a difficult coworker, someone he owed money to — and decided it wasn't worth the discomfort of sitting through an entire meal near them. The cash on the table was his way of leaving cleanly without making a scene or needing to interact with the waiter on the way out.","REFERENCES_VIOLATION: 6
COHERENCE: 9
NON_POSTHOC: 7",6,9,7,7.5
8_world_model,claude-opus-4-6,restaurant,3,"a man walks into a restaurant during the lunch rush. he sits at a corner table, looks at the menu carefully, and waves at the waiter. what is most likely to happen in the next 60 seconds? give one specific prediction.",The waiter walks over to his table and asks what he'd like to drink.,"actually, the man stands up abruptly, leaves a $20 bill on the table, and walks out without ordering. why might he have done that? give 3 plausible explanations.","Three plausible explanations:

He glanced at the menu and realized the prices were higher than he expected or the restaurant didn't serve what he was craving, so he left the $20 as a courtesy for taking up the table during a busy period.

He received an urgent text or phone call — maybe a work emergency or a family matter — that required him to leave immediately. The $20 was a quick ""sorry for the trouble"" gesture to the staff.

He spotted someone in the restaurant he wanted to avoid, whether an ex, a difficult coworker, or someone he owed money to. Leaving cash on the table let him exit quickly without making a scene or waiting around for the waiter.","REFERENCES_VIOLATION: 5
COHERENCE: 9
NON_POSTHOC: 7",5,9,7,7.2
8_world_model,claude-opus-4-6,restaurant,4,"a man walks into a restaurant during the lunch rush. he sits at a corner table, looks at the menu carefully, and waves at the waiter. what is most likely to happen in the next 60 seconds? give one specific prediction.",The waiter will walk over to his table and ask what he'd like to drink.,"actually, the man stands up abruptly, leaves a $20 bill on the table, and walks out without ordering. why might he have done that? give 3 plausible explanations.","Three plausible explanations:

He glanced at the menu and realized the prices were far higher than he expected or wanted to spend, so he left the $20 as a courtesy for taking up the table and walked out to find somewhere cheaper.

He received an urgent text or phone call while sitting down — something like a work emergency or a family matter — and left the cash out of habit or politeness before rushing off to deal with it.

He spotted someone in the restaurant he wanted to avoid, whether an ex, a difficult coworker, or someone he owed money to, and decided leaving quickly was worth abandoning the meal.","REFERENCES_VIOLATION: 3
COHERENCE: 9
NON_POSTHOC: 6",3,9,6,6.3
8_world_model,claude-opus-4-6,interview,0,"someone walks into a job interview wearing a suit. they shake hands firmly, sit down, and answer the interviewer's first question clearly. what's likely to happen in the next few minutes?","The interviewer will probably move into a series of follow-up questions — starting with background and experience (""tell me about yourself,"" ""walk me through your resume""), then shifting toward more specific or behavioral questions (""describe a time when…""). There'll be some back-and-forth small talk woven in, maybe a comment about the commute or the weather to keep things relaxed.

The candidate will likely settle into a rhythm, reading the interviewer's cues — adjusting how much detail to give, matching their energy level. The interviewer is mentally forming early impressions (research suggests those form within the first few minutes) but will keep asking questions to test or revise that initial read.

If the first answer landed well, the interviewer's body language will probably stay open — nodding, eye contact, maybe jotting a note or two. The conversation will feel more like a dialogue than an interrogation. If it didn't land, the interviewer might move on quickly or probe deeper to give the candidate another chance.

Within about five to ten minutes, the tone for the rest of the interview is largely set. Not locked in, but the initial momentum matters — and a strong opening like you described (appropriate attire, confident handshake, clear first answer) generally buys goodwill and a more relaxed dynamic going forward.","30 seconds into the interview, the candidate stands up, apologizes, and walks out of the room. why might they have done that? generate 3 explanations.","That's a striking shift from how well things started. Here are three possible explanations.

First, they may have had a sudden personal emergency — a phone buzzing in their pocket with a call from their kid's school, a wave of nausea or a medical issue like a panic attack, or a text they glimpsed that something urgent was happening at home. The apology and voluntary exit suggest they felt they *had* to leave, not that they wanted to.

Second, they might have learned something in those first 30 seconds that made the job untenable. Maybe the interviewer said something that revealed the role was fundamentally different from what was advertised, or mentioned a detail (relocation, travel demands, reporting structure) that was a dealbreaker. Some people, once they realize it's not going to work, would rather bow out respectfully than waste both parties' time.

Third, they could have recognized someone — the interviewer, or someone who walked past — and realized there was a conflict they couldn't navigate. A former boss they left on bad terms with, someone involved in a legal dispute, an ex. The kind of situation where staying would be awkward or compromising for reasons they couldn't easily explain on the spot, so a brief apology and a quick exit felt like the least bad option.

What's interesting across all three is that the politeness of the exit (standing, apologizing) suggests this wasn't impulsive or hostile — it was someone making a rapid judgment that leaving was the right call despite the social cost of doing so.","REFERENCES_VIOLATION: 8
COHERENCE: 9
NON_POSTHOC: 7",8,9,7,8.1
8_world_model,claude-opus-4-6,interview,1,"someone walks into a job interview wearing a suit. they shake hands firmly, sit down, and answer the interviewer's first question clearly. what's likely to happen in the next few minutes?","The interviewer will probably move into a series of follow-up questions — starting with something like ""tell me about yourself"" or walking through the candidate's resume. There'll be some back-and-forth where the interviewer is sizing up not just the answers but how the person communicates, whether they seem at ease, whether their experience lines up with the role. The candidate will likely ask a clarifying question or two along the way.

If the early rapport is good (firm handshake, clear first answer — sounds like it is), the interviewer may relax a bit and the conversation will start feeling more natural, less interrogative. They might shift from scripted questions to more situational or behavioral ones (""tell me about a time when..."") to test depth. The candidate will probably settle in too, getting a better read on what the interviewer cares about and tailoring responses accordingly.

Within five or ten minutes, both sides usually have a rough gut sense of whether this is going somewhere, even if neither would articulate it yet.","30 seconds into the interview, the candidate stands up, apologizes, and walks out of the room. why might they have done that? generate 3 explanations.","Three plausible explanations:

First, they may have received an urgent notification — a vibrating phone with a message about a family emergency, a sick child, a partner in trouble. The kind of thing where you suddenly can't think about anything else and staying seated feels impossible. The apology and quick exit suggest they knew it was abrupt but felt they had no choice.

Second, they may have realized in that first exchange that something was seriously wrong with the opportunity. Maybe the interviewer said something that revealed the role was fundamentally different from what was advertised, or the company culture showed itself immediately in a way that was a dealbreaker — a dismissive comment, a red flag about expectations. Some people, once they know it's not going to work, would rather be honest and leave than waste everyone's time performing interest they don't feel.

Third, they might have been hit by a sudden wave of anxiety or a panic attack. The suit, the firm handshake, the clear first answer — that could have been someone holding it together through sheer willpower, and thirty seconds in, the adrenaline crested and became unmanageable. Standing up and leaving might have felt like the only way to avoid something more visible and embarrassing. The apology fits here too — they're aware of how it looks, but staying isn't an option their body is giving them.","REFERENCES_VIOLATION: 7
COHERENCE: 9
NON_POSTHOC: 8",7,9,8,8.1
8_world_model,claude-opus-4-6,interview,2,"someone walks into a job interview wearing a suit. they shake hands firmly, sit down, and answer the interviewer's first question clearly. what's likely to happen in the next few minutes?","The interviewer will probably move into a series of increasingly specific questions — starting with something like ""tell me about yourself"" or ""walk me through your resume,"" then shifting toward the role itself: why they're interested, what relevant experience they have, how they've handled particular situations. The candidate will settle into a rhythm, reading the interviewer's reactions and adjusting — giving longer or shorter answers, adding more detail or pulling back depending on the cues they pick up.

There'll likely be a bit of small talk woven in, maybe about the commute or the office space, which serves a dual purpose: it eases tension and lets the interviewer gauge how naturally the person communicates outside of rehearsed answers. The interviewer is forming impressions fast — not just from what's said but from body language, eye contact, how the candidate handles a question they weren't expecting.

If things are going well, the conversation starts to feel less like an interrogation and more like a discussion. The interviewer might start ""selling"" the role a bit, describing the team or the company culture in appealing terms. If it's not clicking, the questions might stay more formulaic and the interview could wrap up a bit quicker than scheduled.

At some point the candidate will probably get a chance to ask their own questions, which is itself another evaluation moment — thoughtful questions signal genuine interest and preparation, while ""no, I think you've covered everything"" can land flat.

Is there a particular angle on this you're thinking about — interview prep, social dynamics, something else?","30 seconds into the interview, the candidate stands up, apologizes, and walks out of the room. why might they have done that? generate 3 explanations.","A few possibilities:

They suddenly realized they're in the wrong interview. Maybe they were scheduled with a different company in the same building, or they glanced at a nameplate or logo and it clicked that this isn't where they're supposed to be. The apology and quick exit make sense — they want to get to the right place before it's too late.

They received an urgent message they couldn't ignore. A phone on vibrate, a smartwatch notification — something signaling a family emergency, a child's school calling, a medical situation with someone close to them. The kind of thing where social norms around professionalism instantly become irrelevant and the person just needs to leave.

Something the interviewer said in that first exchange revealed a dealbreaker. Maybe the role was misrepresented by the recruiter — the salary, the location, the actual job duties turned out to be fundamentally different from what they'd been told. Or the interviewer said something that signaled a work culture the candidate wanted no part of. Some people, especially those who aren't desperate for the position, will cut their losses immediately rather than sit through thirty more minutes of something they already know they'll decline.","REFERENCES_VIOLATION: 4
COHERENCE: 9
NON_POSTHOC: 6",4,9,6,6.6
8_world_model,claude-opus-4-6,interview,3,"someone walks into a job interview wearing a suit. they shake hands firmly, sit down, and answer the interviewer's first question clearly. what's likely to happen in the next few minutes?","The interviewer will probably move into a series of follow-up questions — starting with background and experience (""tell me about yourself,"" ""walk me through your resume""), then shifting toward more specific or behavioral questions (""describe a time when…""). There'll be some back-and-forth small talk woven in, maybe a comment about the commute or the weather to keep things relaxed.

The candidate will likely settle into a rhythm, getting a little more comfortable as the conversation progresses. The interviewer might jot down some notes, nod along, and occasionally steer the conversation toward topics they care about — team fit, relevant skills, how the person handles challenges.

Within about five to ten minutes, the tone usually shifts from introductory pleasantries to something more substantive, where the interviewer is actively probing whether this person can do the job and whether they'd mesh with the team. The candidate, if they're prepared, will start weaving in specific examples and trying to read the interviewer's reactions to gauge what's landing.

Nothing dramatic — just two people gradually figuring out whether there's a fit.","30 seconds into the interview, the candidate stands up, apologizes, and walks out of the room. why might they have done that? generate 3 explanations.","That's a striking break from the script. Here are three possible explanations.

First, they may have suddenly felt overwhelmed — a panic attack, a wave of nausea, or intense anxiety that made staying in the room feel impossible. Some people experience this even when they're well-prepared; the body just overrides the plan. The apology before leaving suggests they knew the behavior was unusual and felt bad about it, which points toward something involuntary.

Second, they might have learned something in those first 30 seconds that changed the calculus entirely. Maybe the interviewer said something that revealed the role was fundamentally different from what was advertised, or the candidate recognized the interviewer as someone they had a conflict with, or they noticed something about the workplace environment that was a dealbreaker. A quick mental calculation — ""this isn't going to work"" — and they decided not to waste anyone's time.

Third, they could have received an urgent notification right before or as they sat down — a vibrating phone with a family emergency, a text about a child or parent — and made the split-second decision that whatever was happening outside that room mattered more than the interview. The apology and abrupt exit fit someone whose priorities just got rearranged in an instant.

What makes this interesting is that the apology is the key detail. It rules out a lot of hostile or indifferent explanations and points toward someone who *wanted* to be there but, for one reason or another, couldn't stay.","REFERENCES_VIOLATION: 8
COHERENCE: 9
NON_POSTHOC: 7",8,9,7,8.1
8_world_model,claude-opus-4-6,interview,4,"someone walks into a job interview wearing a suit. they shake hands firmly, sit down, and answer the interviewer's first question clearly. what's likely to happen in the next few minutes?","The interviewer will probably move into a series of progressively deeper questions — starting with background and experience (""walk me through your resume,"" ""why are you interested in this role?""), then shifting toward behavioral or situational questions (""tell me about a time you handled a conflict,"" ""how would you approach X problem?""). The candidate will settle into a rhythm, adjusting their energy to match the interviewer's style — more formal if the interviewer stays buttoned-up, slightly more relaxed if the interviewer leans back and cracks a joke.

There'll likely be a few natural pauses where the candidate decides how much detail to give, maybe a moment where they buy time on a tough question with something like ""that's a great question"" while organizing their thoughts. The interviewer is mentally sorting first impressions — the firm handshake and clear first answer have probably earned some early credibility, so they might push a bit harder to test depth rather than staying surface-level.

At some point the dynamic shifts from pure Q&A to something slightly more conversational, especially if the interviewer senses the candidate is competent. They might start selling the role a bit, or explaining team culture, which is itself a signal things are going well. If it's not going well, the questions stay transactional and the interview wraps up faster than scheduled.","30 seconds into the interview, the candidate stands up, apologizes, and walks out of the room. why might they have done that? generate 3 explanations.","Here are three plausible explanations:

**A sudden physical emergency.** They felt a wave of nausea, a nosebleed starting, or a sharp pain — something that made staying in the chair untenable. The apology and quick exit suggest they're trying to preserve dignity while handling something urgent and bodily. They may fully intend to come back in two minutes.

**They realized they're in the wrong interview.** Maybe the interviewer introduced themselves or named the role, and the candidate suddenly understood there was a scheduling mix-up, they're at the wrong company's office suite, or the position is completely different from what they applied for. The apology is genuine embarrassment — they don't want to waste anyone's time, and staying would only make it more awkward.

**Something the interviewer said triggered a dealbreaker.** Within those first 30 seconds, the interviewer may have revealed something — a detail about the role, the compensation structure, the reporting chain, an offhand remark about work culture — that told the candidate this wasn't a place they wanted to work. Some people, especially those with other options, will cut their losses immediately rather than perform enthusiasm for another 45 minutes. The politeness of apologizing before leaving suggests it's a calculated decision, not an emotional reaction.","REFERENCES_VIOLATION: 7
COHERENCE: 9
NON_POSTHOC: 7",7,9,7,7.800000000000001
